plan,description,submitter,previous_plan,changed_rows,invalid
2100,Current Map,,0,0,0
75471,Stephen Tordella's Map,,0,0,0
76112,,,0,0,0
76160,Compact,,0,0,0
76310,The Best Plan,,0,0,0
76786,Edited CD,,0,0,0
76803,DKC14,,0,0,1
77003,Young plan,,0,0,0
77177,The Best Plan v1.1,,0,0,0
77188,TJWPlan,,0,0,0
77202,Compact/no deviation #cityofdallas,,0,0,0
77281,Pak152,,0,0,1
77286,Dallas,,0,0,0
77364,,,0,0,0
77449,,,0,0,1
77510,Luther Harris Submission,,0,0,0
77653,Pedrol,,0,0,0
77980,Perfectly balanced as all things should be,,0,0,0
78158,The Cherry Plan,,0,0,0
78214,The Gerrymander Plan,,0,0,0
78508,Hispanic Amplified,,0,0,0
78748,Cut with Surgical precision,,0,0,0
78813,The Cherry Plan 2,,0,0,0
79199,The Cherry Plan 3,,0,0,0
79417,AGW Plan,,0,0,0
79897,Omar'sVision,,0,0,0
80227,FairMapTX,,0,0,0
80589,Omar's Vision,,0,0,0
83605,,,0,0,0
87850,KCT2,,0,0,1
87887,KCT3,,0,0,1
90091,,,0,0,0
92048,Southern Neighborhoods Fair II,,0,0,0
92393,Bolden Design,,0,0,1
93173,Betzen Draft 1,,0,0,0
95766,,,0,0,0
99549,Betzen 14 Population Center Map Draft 5,,0,0,0
100113,,,0,0,0
100532,Betzen Submission #1,,0,0,0
100997,Betzen Submission #2,,0,0,0
101516,Betzen Submission #3,,0,0,0
101606,TACW 101464,,0,0,0
101652,,,0,0,0
