plan,description,submitter,previous_plan,changed_rows,invalid
2100,"STATE HOUSE DISTRICTS, 2021-2022",STATE HOUSE,0,0,0
2101,REP. HUNTER STWD HOUSE PROPOSAL 87(3) HB1-INTRO,REP. HUNTER,0,0,0
2103,"REP. ROSE HD 35,41 CMTE AMEND PLANH2101 (HB1)",REP. ROSE,2101,209,0
2104,"REP. CAMPOS HD 118,119 CMTE AMEND PLANH2101 (HB1)",REP. CAMPOS,2101,27,0
2107,"REP. HERNANDEZ HD143,145 CMTE AMND PLANH2101 (HB1)",REP. HERNANDEZ,2101,259,0
2108,"REP. MOODY HD 45,73 CMTE AMEND PLANH2101 (HB1)",REP. MOODY,2101,48,0
2109,REP. DAVIS DALLAS CNTY CMTE AMEND PLANH2101 (HB1),REP. DAVIS,2101,15730,0
2110,REP. C TURNER 3-DIST CMTE AMEND PLANH2101 (HB1),REP. C TURNER,2101,3846,0
2112,"REP. JETTON HD28,76 CMTE AMEND PLANH2101 (HB1)",REP. JETTON,2101,11,0
2115,REP. GOLDMAN 6-DIST CMTE AMEND PLANH2101 (HB1),REP. GOLDMAN,2101,7759,0
2116,REP. MINJAREZ 4-DIST CMTE AMEND PLANH2101 (HB1),REP. MINJAREZ,2101,5050,0
2118,"REP. GUILLEN HD74,79 CMTE AMEND PLANH2101 (HB1)",REP. GUILLEN,2101,322,0
2119,REP. C TURNER 5-DIST CMTE AMEND TO PLANH2101 (HB1),REP. C TURNER,2101,4574,0
2121,REP. C TURNER TARRANT CMTE AMND TO PLANH2101 (HB1),REP. C TURNER,2101,8424,0
2126,REP. C TURNER 7-DIST CMTE AMEND TO PLANH2101 (HB1),REP. C TURNER,2101,2245,0
2127,REP. COLEMAN HARRIS CNTY CMTE AMEND PLAN2101 (HB1),REP. COLEMAN,2101,13323,0
2130,"REP. SCHOFIELD HD126,139 CMTE AMEND PLANH2101 (HB1)",REP. SCHOFIELD,2101,86,0
2132,"REP. SCHOFIELD HD132,135 CMTE AMND PLANH2101 (HB1)",REP. SCHOFIELD,2101,129,0
2133,REP. ANCHIA STWD CMTE AMEND PLANH2101 (HB1),REP. ANCHIA,2101,376728,0
2135,REP. SCHOFIELD 3-DIST CMTE AMEND PLANH2101 (HB1),REP. SCHOFIELD,2101,152,0
2137,"REP. SCHOFIELD HD133,137 CMTE AMND PLANH2101 (HB1)",REP. SCHOFIELD,2101,14,0
2138,REP. JETTON 4-DIST CMTE AMEND TO PLANH2101 (HB1),REP. JETTON,2101,207,0
2139,"REP C TURNER HD 46,50 CMTE AMEND PLANH2101 (HB1)",REP C TURNER,2101,903,0
2140,REP. JETTON 6-DIST CMTE AMEND PLANH2101 (HB1),REP. JETTON,2101,675,0
2142,REP. S THOMPSON 12-DIST CMTE AMEND PLANH2101 (HB1),REP. S THOMPSON,2101,1786,0
2143,REP. JETTON 4-DIST CMTE AMEND PLANH2101 (HB1),REP. JETTON,2101,5423,0
2149,"REP. GOLDMAN HD 90,95,99 CMTE AMEND PLANH2101 (HB1)",REP. GOLDMAN,2101,233,0
2150,REP. GUILLEN HD 35-41 CMTE AMEND PLANH2101 (HB1),REP. GUILLEN,2101,7038,0
2153,"REP. MORRISON HD 57,64,106 CMTE AMEND PLANH2101 (HB1)",REP. MORRISON,2101,566,0
2154,REP. ROSE STWD CMTE AMEND PLANH2101 (HB1),REP. ROSE,2101,358,0
2156,REP. MINJAREZ BEXAR CO AMEND PLANH2101 (HB1),REP. MINJAREZ,2101,2664,0
2159,STATEWIDE CMTE AMEND PLANH2101 (HB1),STATEWIDE CMTE,2101,725,0
2161,REP. ANCHIA MULTI DIST CMTE AMEND PLANH2101 (HB1),REP. ANCHIA,2101,120003,0
2162,"REP LANDGRAF HD 60,61 AMEND PLANH2101 (HB1) CA7-A",REP LANDGRAF,2101,10101,0
2163,REP. MORRISON 4-DIST CMTE AMEND PLANH2101 (HB1),REP. MORRISON,2101,202,0
2164,REP. MORRISON 4-DIST CMTE AMEND PLANH2101 (HB1),REP. MORRISON,2101,268,0
2166,"REP. JETTON HD 54,55 CMTE AMEND PLANH2101 (HB1)",REP. JETTON,2101,4828,0
2167,REP. C TURNER 7-DIST CMTE AMEND PLANH2101 (HB1),REP. C TURNER,2101,2340,0
2168,"REP. JETTON HD 25,29 CMTE AMEND PLANH2101 (HB1)",REP. JETTON,2101,938,0
2169,"REP MINJAREZ HD 47,48,49 CMTE AMND PLANH2101 (HB1)",REP MINJAREZ,2101,4623,0
2170,"REP. SCHOFIELD HD 126,130 CMTE AMEND PLANH2101 (HB1)",REP. SCHOFIELD,2101,116,0
2172,"REP. MORRISON HD64,106 CMTE AMND TO AMND PLANH2153 (HB1)",REP. MORRISON,2153,111,0
2175,REP. GOLDMAN 5-DIST CMTE AMEND PLANH2101 (HB1),REP. GOLDMAN,2101,302,0
2176,PROPOSAL CSHB1,PROPOSAL CSHB1,0,0,0
2179,REP. GEREN 4-DIST AMEND TO PLANH2176 (CSHB1),REP. GEREN,2176,302,0
2182,"REP LANDGRAF HD42,80 AMEND TO PLANH2176 (CSHB1)",REP LANDGRAF,2176,5,0
2183,Ryan Faidley Statewide House Proposal,Ryan Faidley,0,0,0
2184,"HD 47,48 AMEND TO PLANH2176 (CSHB1)","HD 47,48",2176,111,0
2185,"REP THIERRY HD 131,146 AMND TO PLANH2176 (CSHB1)",REP THIERRY,2176,340,0
2186,"REP GOLDMAN HD97,99 AMEND PLANH2176 (CSHB1)",REP GOLDMAN,2176,80,0
2187,REP S THOMPSON HARRIS CNTY AMEND PLANH2176 (CSHB1),REP S THOMPSON,2176,2531,0
2192,27-DISTRICT AMND TO PLANH2176 (CSHB1),27-DISTRICT AMND,2176,48740,0
2193,REP. CASON TARRANT CNTY AMEND PLANH2176 (CSHB1),REP. CASON,2176,6028,0
2196,"HD131,137,146,149 AMEND PLANH2176 (CSHB1)","HD131,137,146,149 AMEND",2176,422,0
2197,"REP STUCKY HD 57,64 AMEND PLANH2176 (CSHB1)",REP STUCKY,2176,281,0
2198,REP C TURNER TARRANT CNTY AMEND PLANH2176 (CSHB1),REP C TURNER,2176,8424,0
2199,"HD25,29 FLOOR AMN PLANH2176 (CSHB1)","HD25,29 FLOOR",2176,1042,0
2200,Statewide House Compactness Demo (Tidwell),Statewide House,0,0,0
2203,"REP THEIRRY HD131,146 AMN TO AMN PLANH2187 (CSHB1)",REP THEIRRY,2187,48,0
2205,"REP THEIRRY HD131,146 AMN TO AMN PLANH2187 (CSHB1)",REP THEIRRY,2187,111,0
