plan,description,submitter,previous_plan,changed_rows,invalid
2100,"STATE SENATE DISTRICTS, 2013-2022",STATE SENATE,0,0,0
2101,SEN. HUFFMAN STWD SENATE PROPOSAL 87(3) SB4-INTRO,SEN. HUFFMAN,0,0,0
2103,SEN. WEST SD 22 & 23 CMTE AMEND PLANS2101 (SB4),SEN. WEST,2101,627,0
2108,SEN. HUFFMAN MULTI DIST CMTE AMEND PLANS2101 (SB4),SEN. HUFFMAN,2101,23134,0
2109,SEN. POWELL STATEWIDE SENATE PROPOSAL,SEN. POWELL,0,0,0
2112,"SEN WEST SD22,23 CMTE AMND TO AMND PLANS2108 (SB4)",SEN WEST,2108,627,0
2113,SEN. CREIGHTON SD 3 & 4 CMTE AMEND PLANS2101 (SB4),SEN. CREIGHTON,2101,58,0
2117,"SEN GUTIERREZ 19,21 CMT AMN TO AMN PLANS2108 (SB4)",SEN GUTIERREZ,2108,2772,0
2118,"SEN CREIGHTON SD 4,7,18 CMTE AMEND PLANS2101 (SB4)",SEN CREIGHTON,2101,1888,0
2119,SEN. POWELL 7-DIST AMND TO AMND PLANS2108 (SB4),SEN. POWELL,2108,28768,0
2120,"SEN WEST SD22,23 CMTE AMND TO AMND PLANS2108 (SB4)",SEN WEST,2108,688,0
2121,SEN HUFFMAN COMMITTEE AMND TO AMND PLANS2108 (SB4),SEN HUFFMAN,2108,4463,0
2122,"SEN. CREIGHTON SD 4,18 CMTE AMEND PLANS2101 (SB4)",SEN. CREIGHTON,2101,162,0
2123,Statewide Senate Compactness Demo (Tidwell),Statewide Senate,0,0,0
2124,Alexander Morales Statewide Senate Proposal,Alexander Morales,0,0,0
2125,Ric Galvan Statewide Senate Proposal,Ric Galvan,0,0,0
2126,SEN HUFFMAN 7-DIST CMTE AMN TO AMN PLANS2108 (SB4),SEN HUFFMAN,2108,4463,0
2129,SEN. GUTIERREZ/ECKHARDT STWD SENATE AMEND (CSSB4),SEN. GUTIERREZ/ECKHARDT,0,0,0
2130,"C.S.S.B. 4, SENATE COMMITTEE REPORT",C.S.S.B. 4,0,0,0
2132,SEN. POWELL 6-DIST AMENDMENT TO PLANS2130 (CSSB4),SEN. POWELL,2130,27218,0
2134,SEN. POWELL 5-DIST AMENDMENT TO PLANS2130 (CSSB4),SEN. POWELL,2130,28654,0
2135,"SEN. SELIGER SD 28,31 AMND PLANS2130 (CSSB4)",SEN. SELIGER,2130,11020,0
2137,"SEN. CREIGHTON SD 4,7,18 AMEND PLANS2130 (CSSB4)",SEN. CREIGHTON,2130,2236,0
2139,SEN. ZAFFIRINI 4-DIST AMEND TO PLANS2130 (CSSB4),SEN. ZAFFIRINI,2130,3044,0
2141,SEN. KOLKHORST 4-DIST AMEND TO PLANS2130 (CSSB4),SEN. KOLKHORST,2130,1443,0
2142,SEN. MENENDEZ STATEWIDE AMENDMENT (CSSB4),SEN. MENENDEZ,0,0,0
2146,"SEN. GUTIERREZ SD 19,29 AMEND TO PLANS2130 (CSSB4)",SEN. GUTIERREZ,2130,1516,0
2148,"SEN. KOLKHORST SD 4,18 AMEND TO PLANS2130 (CSSB4)",SEN. KOLKHORST,2130,432,0
2149,SEN. HUFFMAN 6-DIST AMEND PLANS2130 (CSSB4),SEN. HUFFMAN,2130,1052,0
2150,"SEN. JOHNSON SD16,23 AMEND TO PLANS2130 (CSSB4)",SEN. JOHNSON,2130,279,0
2153,"SEN. HINOJOSA SD 20,27 AMEND TO PLANS2130 (CSSB4)",SEN. HINOJOSA,2130,3508,0
2154,"SEN. LUCIO SD 20,27 AMEND TO PLANS2130 (CSSB4)",SEN. LUCIO,2130,954,0
2161,Latino Task Force DFW Senate Proposal,Latino Task,0,0,1
2162,LATINO TASK FORCE STX PROPOSAL,LATINO TASK,0,0,1
2164,SEN. ZAFFIRINI 3-DIST AMN TO AMN PLANS2139 (CSSB4),SEN. ZAFFIRINI,2139,430,0
2166,"SEN. JOHNSON SD 16,23 AMN TO AMN PLANS2150 (CSSB4)",SEN. JOHNSON,2150,291,0
2167,"SEN. HUFFMAN SD 20,27 AMEND TO PLANS2130 (CSSB4)",SEN. HUFFMAN,2130,2361,0
2168,"S.B. 4, SENATE ENGROSSMENT",S.B. 4,0,0,0
2171,REP. C TURNER  6-DIST AMEND PLANS2168 (SB4),REP. C TURNER,2168,27393,0
2172,Jeff Harper Statewide SenateProposal,Jeff Harper,0,0,0
2173,13-DIST FLOOR AMEND PLANS2168 (SB4),13-DIST FLOOR,2168,98271,0
2174,"REP ROMERO SD9,10,12,22,30 AMEND PLANS2168 (SB4)",REP ROMERO,2168,29056,0
2175,REP COLLIER 6-DIST AMEND PLANS2168 (SB4),REP COLLIER,2168,27393,0
